Feature,Mean,Median,Std,Min,Max,Non_Zero_Count,Total_Values
current_ratio,5.720470494544043,2.0002604302307407,132.4459661399692,-50.05882352941176,14780.368668385525,28253,131821
quick_ratio,5.592553331519411,1.948038003068827,132.33218531522243,-65.68418000689964,14775.780892573017,28256,131821
debt_to_asset_ratio,0.5282467862997583,0.2152230971128608,5.413335593761414,-0.0004698144233027,373.84460290047065,23161,131821
debt_to_equity_ratio,0.4324735891403166,0.2968449670022967,7.240188875519232,-773.6311001822875,79.53025325155765,23166,131821
roe,18.68246679434703,1.5558537861383437,125.88005639710016,-759.8107399497408,19035.50404865687,52799,131821
roa,1.1136312977941747,0.3845877813207423,12.07317115471001,-52.215199333177345,1643.35576670336,25672,131821
net_profit_margin,17.83304126142398,1.8313861698768548,210.04860594675566,-110.0,27238.596016092724,53671,131821
operating_profit_margin,10.0,9.999999999999998,1.3504849489156124e-15,9.999999999999998,10.000000000000002,131821,131821
asset_turnover,0.264221152289889,0.1892026653370201,6.175595605452236,-1.5235531628532974,1022.4586299269076,27437,131821
revenue_growth_rate,24.410337027544387,1.9492191819026967,465.48877884729797,-122.93577981651376,57562.75137694899,57916,131821
profit_growth_rate,261.36075545293517,-2.312138728323702,2332.451524023098,-172.31638418079095,260466.7455112005,52435,131821
pe_ratio,147.47575631770755,70.84437086092714,253.01729351619917,0.0005193207931337,2306.820239894741,43375,131821
working_capital,891.4826833697124,96.14499999999998,6672.7619089581085,-221007.5138626517,125474.28,28364,131821
total_assets,13444.087049101343,744.52,63378.843915026075,-14.86,1835343.5470609032,28380,131821
total_liabilities,4193.169971424385,288.28000000000003,15194.744069188664,-2.6,456031.9143866089,28273,131821
operating_cashflow_to_sales,-7.625109892740504,13.333667302359434,532.2867794493385,-10715.985170700187,6407.051808990462,7452,131821
free_cashflow,211.63079464460805,10.53,1642.0104282976204,-37727.90738918688,14687.020525731068,9935,131821
inventory_turnover,490.6595769892117,30.0,2024.8012422432948,-0.75,33118.97562805159,59991,131821
current_assets_to_total_assets,46.792071838025095,45.753023217830986,25.608393383065664,0.0013004535331696,100.0,28368,131821
long_term_debt_to_total_assets,22.428650939299068,7.809841643763907,169.70057621749123,-3.279870246891333,13704.021967688,20865,131821
equity_to_assets_ratio,59.3737796917492,57.38659084517178,646.9060662256893,-28308.18259680129,77682.5711689984,28380,131821
eps_growth_rate,25.39438658633997,2.329973861465766,1289.651846707546,-120228.43263093477,117797.02564665492,58248,131821
price_to_book_ratio,238.14047666990461,20.948551479783244,813.4205161688585,0.0002373363098662,13858.307998322383,52922,131821
retained_earnings_ratio,54.377927888924674,47.99135035439353,98.2883559201207,-922.2481323448266,3856.59145792756,3994,131821
